,Team,Off_Rating,Def_Rating,Year,NBA Champion,Normalized_Off_Rating,Normalized_Def_Rating
0,Atlanta Hawks,106.4,100.3,1996,False,0.5488721804511282,0.9051724137931039
1,Boston Celtics,102.9,110.1,1996,False,0.2857142857142863,0.060344827586207184
2,Charlotte Hornets,109.1,107.1,1996,False,0.7518796992481197,0.31896551724137967
3,Chicago Bulls,112.4,100.7,1996,True,1.0,0.8706896551724137
4,Cleveland Cavaliers,102.7,100.8,1996,False,0.27067669172932374,0.8620689655172418
5,Dallas Mavericks,99.5,106.0,1996,False,0.030075187969925213,0.4137931034482758
6,Denver Nuggets,103.1,109.7,1996,False,0.3007518796992479,0.09482758620689613
7,Detroit Pistons,108.5,102.6,1996,False,0.7067669172932329,0.7068965517241386
8,Golden State Warriors,105.3,110.3,1996,False,0.4661654135338344,0.0431034482758621
9,Houston Rockets,107.5,102.8,1996,False,0.6315789473684209,0.6896551724137934
10,Indiana Pacers,104.2,102.9,1996,False,0.38345864661654167,0.6810344827586203
11,Los Angeles Clippers,103.5,106.2,1996,False,0.3308270676691731,0.3965517241379307
12,Los Angeles Lakers,106.4,102.3,1996,False,0.5488721804511282,0.7327586206896555
13,Miami Heat,105.2,99.2,1996,False,0.45864661654135364,1.0
14,Milwaukee Bucks,104.7,106.7,1996,False,0.4210526315789476,0.3534482758620686
15,Minnesota Timberwolves,103.9,105.5,1996,False,0.3609022556390983,0.4568965517241379
16,New Jersey Nets,102.4,107.2,1996,False,0.24812030075188035,0.3103448275862065
17,New York Knicks,102.9,99.5,1996,False,0.2857142857142863,0.974137931034483
18,Orlando Magic,103.8,104.2,1996,False,0.35338345864661647,0.5689655172413791
19,Philadelphia 76ers,102.6,109.5,1996,False,0.26315789473684187,0.11206896551724121
20,Phoenix Suns,108.0,107.1,1996,False,0.669172932330827,0.31896551724137967
21,Portland Trail Blazers,106.3,102.1,1996,False,0.5413533834586464,0.7500000000000007
22,Sacramento Kings,102.7,107.0,1996,False,0.27067669172932374,0.3275862068965516
23,San Antonio Spurs,102.1,110.8,1996,False,0.2255639097744359,0.0
24,Seattle SuperSonics,109.6,101.0,1996,False,0.7894736842105257,0.8448275862068967
25,Toronto Raptors,102.9,106.4,1996,False,0.2857142857142863,0.37931034482758563
26,Utah Jazz,112.4,102.6,1996,False,1.0,0.7068965517241386
27,Vancouver Grizzlies,99.1,110.1,1996,False,0.0,0.060344827586207184
28,Washington Bullets,105.2,103.7,1996,False,0.45864661654135364,0.6120689655172412
29,Atlanta Hawks,106.4,100.3,1997,False,0.5488721804511282,0.9051724137931039
30,Boston Celtics,102.9,110.1,1997,False,0.2857142857142863,0.060344827586207184
31,Charlotte Hornets,109.1,107.1,1997,False,0.7518796992481197,0.31896551724137967
32,Chicago Bulls,112.4,100.7,1997,True,1.0,0.8706896551724137
33,Cleveland Cavaliers,102.7,100.8,1997,False,0.27067669172932374,0.8620689655172418
34,Dallas Mavericks,99.5,106.0,1997,False,0.030075187969925213,0.4137931034482758
35,Denver Nuggets,103.1,109.7,1997,False,0.3007518796992479,0.09482758620689613
36,Detroit Pistons,108.5,102.6,1997,False,0.7067669172932329,0.7068965517241386
37,Golden State Warriors,105.3,110.3,1997,False,0.4661654135338344,0.0431034482758621
38,Houston Rockets,107.5,102.8,1997,False,0.6315789473684209,0.6896551724137934
39,Indiana Pacers,104.2,102.9,1997,False,0.38345864661654167,0.6810344827586203
40,Los Angeles Clippers,103.5,106.2,1997,False,0.3308270676691731,0.3965517241379307
41,Los Angeles Lakers,106.4,102.3,1997,False,0.5488721804511282,0.7327586206896555
42,Miami Heat,105.2,99.2,1997,False,0.45864661654135364,1.0
43,Milwaukee Bucks,104.7,106.7,1997,False,0.4210526315789476,0.3534482758620686
44,Minnesota Timberwolves,103.9,105.5,1997,False,0.3609022556390983,0.4568965517241379
45,New Jersey Nets,102.4,107.2,1997,False,0.24812030075188035,0.3103448275862065
46,New York Knicks,102.9,99.5,1997,False,0.2857142857142863,0.974137931034483
47,Orlando Magic,103.8,104.2,1997,False,0.35338345864661647,0.5689655172413791
48,Philadelphia 76ers,102.6,109.5,1997,False,0.26315789473684187,0.11206896551724121
49,Phoenix Suns,108.0,107.1,1997,False,0.669172932330827,0.31896551724137967
50,Portland Trail Blazers,106.3,102.1,1997,False,0.5413533834586464,0.7500000000000007
51,Sacramento Kings,102.7,107.0,1997,False,0.27067669172932374,0.3275862068965516
52,San Antonio Spurs,102.1,110.8,1997,False,0.2255639097744359,0.0
53,Seattle SuperSonics,109.6,101.0,1997,False,0.7894736842105257,0.8448275862068967
54,Toronto Raptors,102.9,106.4,1997,False,0.2857142857142863,0.37931034482758563
55,Utah Jazz,112.4,102.6,1997,False,1.0,0.7068965517241386
56,Vancouver Grizzlies,99.1,110.1,1997,False,0.0,0.060344827586207184
57,Washington Bullets,105.2,103.7,1997,False,0.45864661654135364,0.6120689655172412
58,Atlanta Hawks,106.5,102.5,1998,False,0.741176470588235,0.6183206106870227
59,Boston Celtics,100.8,103.5,1998,False,0.405882352941176,0.5419847328244273
60,Charlotte Hornets,105.5,103.3,1998,False,0.6823529411764703,0.5572519083969466
61,Chicago Bulls,106.2,98.4,1998,True,0.7235294117647058,0.9312977099236637
62,Cleveland Cavaliers,100.3,97.5,1998,False,0.3764705882352936,1.0
63,Dallas Mavericks,98.9,105.2,1998,False,0.29411764705882354,0.41221374045801484
64,Denver Nuggets,97.4,110.6,1998,False,0.20588235294117646,0.0
65,Detroit Pistons,103.4,101.8,1998,False,0.5588235294117647,0.6717557251908397
66,Golden State Warriors,93.9,103.5,1998,False,0.0,0.5419847328244273
67,Houston Rockets,105.9,106.8,1998,False,0.7058823529411765,0.2900763358778625
68,Indiana Pacers,106.3,99.5,1998,False,0.7294117647058819,0.8473282442748091
69,Los Angeles Clippers,101.8,109.6,1998,False,0.4647058823529407,0.07633587786259544
70,Los Angeles Lakers,110.4,102.3,1998,False,0.9705882352941176,0.633587786259542
71,Miami Heat,105.7,100.5,1998,False,0.6941176470588234,0.7709923664122136
72,Milwaukee Bucks,101.5,103.7,1998,False,0.44705882352941145,0.526717557251908
73,Minnesota Timberwolves,106.4,105.5,1998,False,0.7352941176470589,0.3893129770992364
74,New Jersey Nets,105.8,104.3,1998,False,0.6999999999999995,0.48091603053435117
75,New York Knicks,101.5,98.8,1998,False,0.44705882352941145,0.9007633587786261
76,Orlando Magic,101.0,102.2,1998,False,0.4176470588235291,0.6412213740458012
77,Philadelphia 76ers,101.1,103.3,1998,False,0.4235294117647052,0.5572519083969466
78,Phoenix Suns,106.3,100.6,1998,False,0.7294117647058819,0.7633587786259546
79,Portland Trail Blazers,102.4,100.8,1998,False,0.5,0.7480916030534353
80,Sacramento Kings,99.1,105.0,1998,False,0.30588235294117583,0.42748091603053406
81,San Antonio Spurs,102.4,98.0,1998,False,0.5,0.9618320610687022
82,Seattle SuperSonics,110.1,102.3,1998,False,0.9529411764705875,0.633587786259542
83,Toronto Raptors,99.4,108.9,1998,False,0.3235294117647059,0.12977099236641143
84,Utah Jazz,110.9,103.8,1998,False,1.0,0.5190839694656488
85,Vancouver Grizzlies,102.4,110.2,1998,False,0.5,0.030534351145037553
86,Washington Wizards,103.9,103.2,1998,False,0.5882352941176471,0.5648854961832057
87,Atlanta Hawks,98.4,95.3,1999,False,0.460526315789474,0.8866666666666665
88,Boston Celtics,98.7,100.8,1999,False,0.480263157894737,0.5199999999999998
89,Charlotte Hornets,100.4,100.4,1999,False,0.5921052631578951,0.546666666666666
90,Chicago Bulls,91.4,101.7,1999,False,0.0,0.4599999999999994
91,Cleveland Cavaliers,98.2,100.1,1999,False,0.44736842105263175,0.5666666666666667
92,Dallas Mavericks,100.2,103.0,1999,False,0.5789473684210529,0.37333333333333296
93,Denver Nuggets,101.4,108.6,1999,False,0.6578947368421058,0.0
94,Detroit Pistons,102.4,98.4,1999,False,0.7236842105263164,0.6799999999999993
95,Golden State Warriors,96.0,98.9,1999,False,0.30263157894736825,0.6466666666666658
96,Houston Rockets,103.5,101.0,1999,False,0.7960526315789476,0.5066666666666663
97,Indiana Pacers,106.6,102.2,1999,False,1.0,0.4266666666666661
98,Los Angeles Clippers,98.3,107.8,1999,False,0.45394736842105243,0.05333333333333312
99,Los Angeles Lakers,106.1,102.8,1999,False,0.9671052631578947,0.3866666666666665
100,Miami Heat,102.9,97.1,1999,False,0.7565789473684216,0.7666666666666666
101,Milwaukee Bucks,102.9,101.2,1999,False,0.7565789473684216,0.49333333333333274
102,Minnesota Timberwolves,99.9,99.4,1999,False,0.5592105263157899,0.6133333333333326
103,New Jersey Nets,97.0,101.2,1999,False,0.36842105263157887,0.49333333333333274
104,New York Knicks,97.2,95.9,1999,False,0.38157894736842113,0.8466666666666659
105,Orlando Magic,98.9,96.3,1999,False,0.4934210526315793,0.8199999999999998
106,Philadelphia 76ers,97.8,95.5,1999,False,0.4210526315789471,0.873333333333333
107,Phoenix Suns,103.9,101.6,1999,False,0.8223684210526322,0.4666666666666667
108,Portland Trail Blazers,102.8,96.2,1999,False,0.75,0.8266666666666661
109,Sacramento Kings,101.2,101.6,1999,False,0.6447368421052635,0.4666666666666667
110,San Antonio Spurs,102.7,93.6,1999,True,0.7434210526315793,1.0
111,Seattle SuperSonics,103.2,104.2,1999,False,0.7763157894736846,0.2933333333333328
112,Toronto Raptors,99.8,101.8,1999,False,0.5526315789473683,0.45333333333333314
113,Utah Jazz,104.2,96.7,1999,False,0.8421052631578951,0.7933333333333328
114,Vancouver Grizzlies,97.1,106.3,1999,False,0.37499999999999956,0.1533333333333331
115,Washington Wizards,99.8,102.1,1999,False,0.5526315789473683,0.43333333333333335
116,Atlanta Hawks,100.1,105.8,2000,False,0.5214285714285712,0.18965517241379348
117,Boston Celtics,102.9,103.9,2000,False,0.7214285714285721,0.3534482758620686
118,Charlotte Hornets,102.5,99.7,2000,False,0.6928571428571431,0.7155172413793105
119,Chicago Bulls,92.8,102.8,2000,False,0.0,0.44827586206896597
120,Cleveland Cavaliers,98.7,102.2,2000,False,0.4214285714285718,0.5
121,Dallas Mavericks,104.7,105.2,2000,False,0.8500000000000004,0.2413793103448275
122,Denver Nuggets,102.2,104.5,2000,False,0.6714285714285718,0.3017241379310346
123,Detroit Pistons,105.2,103.8,2000,False,0.8857142857142861,0.36206896551724177
124,Golden State Warriors,98.0,106.5,2000,False,0.3714285714285716,0.1293103448275863
125,Houston Rockets,103.3,104.2,2000,False,0.75,0.3275862068965516
126,Indiana Pacers,106.8,101.7,2000,False,1.0,0.5431034482758621
127,Los Angeles Clippers,96.1,108.0,2000,False,0.23571428571428552,0.0
128,Los Angeles Lakers,105.4,96.4,2000,True,0.9000000000000006,1.0
129,Miami Heat,102.5,99.4,2000,False,0.6928571428571431,0.7413793103448274
130,Milwaukee Bucks,106.5,106.2,2000,False,0.9785714285714288,0.15517241379310331
131,Minnesota Timberwolves,104.2,101.7,2000,False,0.8142857142857147,0.5431034482758621
132,New Jersey Nets,102.8,103.9,2000,False,0.7142857142857143,0.3534482758620686
133,New York Knicks,100.9,99.5,2000,False,0.5785714285714292,0.7327586206896555
134,Orlando Magic,101.1,100.3,2000,False,0.5928571428571426,0.6637931034482765
135,Philadelphia 76ers,99.9,98.3,2000,False,0.5071428571428578,0.8362068965517248
136,Phoenix Suns,102.7,97.3,2000,False,0.7071428571428575,0.922413793103449
137,Portland Trail Blazers,106.5,99.5,2000,False,0.9785714285714288,0.7327586206896555
138,Sacramento Kings,103.6,100.7,2000,False,0.7714285714285712,0.6293103448275863
139,San Antonio Spurs,103.5,97.1,2000,False,0.7642857142857145,0.939655172413794
140,Seattle SuperSonics,104.0,103.1,2000,False,0.8000000000000002,0.42241379310344895
141,Toronto Raptors,102.7,102.8,2000,False,0.7071428571428575,0.44827586206896597
142,Utah Jazz,105.7,101.1,2000,False,0.9214285714285718,0.5948275862068974
143,Vancouver Grizzlies,100.7,106.7,2000,False,0.5642857142857147,0.11206896551724121
144,Washington Wizards,101.8,105.2,2000,False,0.6428571428571429,0.2413793103448275
145,Atlanta Hawks,96.9,102.4,2001,False,0.09009009009009014,0.3958333333333327
146,Boston Celtics,100.1,102.3,2001,False,0.37837837837837757,0.4062500000000002
147,Charlotte Hornets,99.7,97.6,2001,False,0.3423423423423423,0.8958333333333335
148,Chicago Bulls,95.9,105.9,2001,False,0.0,0.031249999999999667
149,Cleveland Cavaliers,99.3,103.5,2001,False,0.3063063063063057,0.28125
150,Dallas Mavericks,105.6,101.2,2001,False,0.8738738738738733,0.5208333333333328
151,Denver Nuggets,102.2,104.9,2001,False,0.5675675675675677,0.1354166666666663
152,Detroit Pistons,98.5,100.3,2001,False,0.23423423423423384,0.6145833333333334
153,Golden State Warriors,96.3,105.5,2001,False,0.036036036036035286,0.07291666666666685
154,Houston Rockets,105.2,102.8,2001,False,0.837837837837838,0.35416666666666696
155,Indiana Pacers,100.3,100.5,2001,False,0.39639639639639584,0.5937499999999998
156,Los Angeles Clippers,100.3,103.2,2001,False,0.39639639639639584,0.3124999999999998
157,Los Angeles Lakers,107.0,103.6,2001,True,1.0,0.2708333333333339
158,Miami Heat,99.4,97.1,2001,False,0.3153153153153155,0.9479166666666667
159,Milwaukee Bucks,106.8,102.6,2001,False,0.9819819819819817,0.37500000000000056
160,Minnesota Timberwolves,103.9,102.4,2001,False,0.7207207207207211,0.3958333333333327
161,New Jersey Nets,98.4,103.8,2001,False,0.22522522522522534,0.25000000000000033
162,New York Knicks,100.0,97.0,2001,False,0.36936936936936904,0.9583333333333328
163,Orlando Magic,102.1,101.1,2001,False,0.5585585585585578,0.5312500000000004
164,Philadelphia 76ers,101.9,97.3,2001,False,0.5405405405405408,0.9270833333333331
165,Phoenix Suns,98.9,96.7,2001,False,0.2702702702702704,0.9895833333333325
166,Portland Trail Blazers,104.7,100.5,2001,False,0.7927927927927929,0.5937499999999998
167,Sacramento Kings,104.2,98.5,2001,False,0.7477477477477479,0.8020833333333329
168,San Antonio Spurs,105.0,96.6,2001,False,0.8198198198198198,1.0
169,Seattle SuperSonics,104.4,104.2,2001,False,0.7657657657657662,0.20833333333333315
170,Toronto Raptors,104.4,102.0,2001,False,0.7657657657657662,0.4374999999999999
171,Utah Jazz,106.1,100.9,2001,False,0.9189189189189184,0.5520833333333326
172,Vancouver Grizzlies,98.2,104.2,2001,False,0.20720720720720706,0.20833333333333315
173,Washington Wizards,99.4,106.2,2001,False,0.3153153153153155,0.0
174,Atlanta Hawks,100.4,104.8,2002,False,0.2773722627737234,0.2555555555555552
175,Boston Celtics,102.1,99.9,2002,False,0.40145985401459844,0.7999999999999987
176,Charlotte Hornets,102.9,101.8,2002,False,0.45985401459854086,0.5888888888888886
177,Chicago Bulls,97.2,106.2,2002,False,0.04379562043795682,0.09999999999999909
178,Cleveland Cavaliers,103.4,107.0,2002,False,0.4963503649635044,0.011111111111110517
179,Dallas Mavericks,110.3,106.0,2002,False,1.0,0.12222222222222157
180,Denver Nuggets,100.3,106.6,2002,False,0.2700729927007301,0.05555555555555558
181,Detroit Pistons,103.2,100.9,2002,False,0.48175182481751877,0.6888888888888876
182,Golden State Warriors,101.5,107.1,2002,False,0.3576642335766427,0.0
183,Houston Rockets,101.6,106.9,2002,False,0.364963503649635,0.022222222222220922
184,Indiana Pacers,102.8,102.4,2002,False,0.45255474452554756,0.522222222222221
185,Los Angeles Clippers,104.3,104.7,2002,False,0.562043795620438,0.2666666666666657
186,Los Angeles Lakers,108.0,100.4,2002,True,0.8321167883211681,0.7444444444444431
187,Memphis Grizzlies,96.6,104.7,2002,False,0.0,0.2666666666666657
188,Miami Heat,97.3,99.0,2002,False,0.0510948905109491,0.8999999999999994
189,Milwaukee Bucks,105.3,105.6,2002,False,0.6350364963503651,0.16666666666666663
190,Minnesota Timberwolves,107.5,104.1,2002,False,0.7956204379562046,0.33333333333333337
191,New Jersey Nets,102.4,98.1,2002,False,0.4233576642335774,1.0
192,New York Knicks,100.4,104.6,2002,False,0.2773722627737234,0.2777777777777778
193,Orlando Magic,105.6,104.1,2002,False,0.6569343065693429,0.33333333333333337
194,Philadelphia 76ers,100.5,98.7,2002,False,0.2846715328467157,0.9333333333333323
195,Phoenix Suns,101.8,102.6,2002,False,0.3795620437956206,0.5
196,Portland Trail Blazers,105.9,102.6,2002,False,0.6788321167883219,0.5
197,Sacramento Kings,107.9,99.7,2002,False,0.8248175182481758,0.8222222222222213
198,San Antonio Spurs,105.4,98.5,2002,False,0.6423357664233583,0.9555555555555549
199,Seattle SuperSonics,107.3,104.1,2002,False,0.781021897810219,0.33333333333333337
200,Toronto Raptors,101.1,101.7,2002,False,0.32846715328467146,0.599999999999999
201,Utah Jazz,103.8,102.9,2002,False,0.5255474452554746,0.46666666666666545
202,Washington Wizards,102.9,104.5,2002,False,0.45985401459854086,0.2888888888888883
203,Atlanta Hawks,100.4,104.2,2003,False,0.5082872928176799,0.3153153153153151
204,Boston Celtics,100.0,100.5,2003,False,0.4861878453038674,0.6486486486486485
205,Chicago Bulls,99.1,104.2,2003,False,0.4364640883977897,0.3153153153153151
206,Cleveland Cavaliers,95.2,105.1,2003,False,0.22099447513812162,0.23423423423423484
207,Dallas Mavericks,109.3,101.0,2003,False,1.0,0.6036036036036034
208,Denver Nuggets,91.2,100.1,2003,False,0.0,0.6846846846846849
209,Detroit Pistons,102.4,98.2,2003,False,0.6187845303867406,0.8558558558558552
210,Golden State Warriors,106.4,107.7,2003,False,0.8397790055248623,0.0
211,Houston Rockets,102.4,100.9,2003,False,0.6187845303867406,0.6126126126126119
212,Indiana Pacers,103.2,99.6,2003,False,0.6629834254143648,0.7297297297297299
213,Los Angeles Clippers,101.1,105.1,2003,False,0.5469613259668505,0.23423423423423484
214,Los Angeles Lakers,105.6,103.4,2003,False,0.7955801104972373,0.3873873873873869
215,Memphis Grizzlies,102.3,105.9,2003,False,0.6132596685082872,0.16216216216216173
216,Miami Heat,95.4,101.2,2003,False,0.23204419889502786,0.5855855855855852
217,Milwaukee Bucks,107.2,106.9,2003,False,0.8839779005524865,0.07207207207207178
218,Minnesota Timberwolves,104.8,102.5,2003,False,0.7513812154696132,0.46846846846846835
219,New Jersey Nets,102.1,96.6,2003,False,0.6022099447513809,1.0
220,New Orleans Hornets,102.4,100.0,2003,False,0.6187845303867406,0.6936936936936935
221,New York Knicks,103.3,104.6,2003,False,0.6685082872928175,0.27927927927927987
222,Orlando Magic,103.7,103.7,2003,False,0.6906077348066301,0.3603603603603601
223,Philadelphia 76ers,103.2,100.6,2003,False,0.6629834254143648,0.63963963963964
224,Phoenix Suns,102.6,101.3,2003,False,0.6298342541436461,0.5765765765765767
225,Portland Trail Blazers,104.2,101.5,2003,False,0.7182320441988953,0.5585585585585584
226,Sacramento Kings,104.4,97.8,2003,False,0.7292817679558015,0.8918918918918917
227,San Antonio Spurs,103.9,98.1,2003,True,0.7016574585635363,0.8648648648648649
228,Seattle SuperSonics,102.4,102.6,2003,False,0.6187845303867406,0.4594594594594599
229,Toronto Raptors,99.3,105.6,2003,False,0.44751381215469593,0.1891891891891898
230,Utah Jazz,103.7,101.1,2003,False,0.6906077348066301,0.594594594594595
231,Washington Wizards,101.5,102.6,2003,False,0.569060773480663,0.4594594594594599
232,Atlanta Hawks,99.1,103.9,2004,False,0.2516556291390725,0.31210191082802485
233,Boston Celtics,100.7,102.2,2004,False,0.35761589403973526,0.4203821656050951
234,Chicago Bulls,95.6,102.1,2004,False,0.019867549668873972,0.426751592356688
235,Cleveland Cavaliers,100.6,103.1,2004,False,0.35099337748344334,0.3630573248407645
236,Dallas Mavericks,110.4,105.9,2004,False,1.0,0.18471337579617775
237,Denver Nuggets,102.4,101.4,2004,False,0.47019867549668903,0.47133757961783374
238,Detroit Pistons,100.3,93.9,2004,True,0.33112582781456934,0.9490445859872604
239,Golden State Warriors,101.5,102.6,2004,False,0.41059602649006616,0.39490445859872625
240,Houston Rockets,99.7,97.8,2004,False,0.2913907284768214,0.7006369426751591
241,Indiana Pacers,102.5,96.2,2004,False,0.47682119205298007,0.8025477707006364
242,Los Angeles Clippers,101.9,106.6,2004,False,0.43708609271523213,0.14012738853503204
243,Los Angeles Lakers,104.2,100.1,2004,False,0.5894039735099338,0.5541401273885351
244,Memphis Grizzlies,103.4,100.8,2004,False,0.536423841059603,0.5095541401273884
245,Miami Heat,100.6,100.3,2004,False,0.35099337748344334,0.5414012738853502
246,Milwaukee Bucks,104.6,103.5,2004,False,0.6158940397350988,0.3375796178343946
247,Minnesota Timberwolves,104.2,98.5,2004,False,0.5894039735099338,0.6560509554140124
248,New Jersey Nets,99.0,96.4,2004,False,0.24503311258278151,0.7898089171974516
249,New Orleans Hornets,100.7,100.6,2004,False,0.35761589403973526,0.5222929936305734
250,New York Knicks,99.7,101.3,2004,False,0.2913907284768214,0.47770700636942665
251,Orlando Magic,101.4,108.8,2004,False,0.4039735099337752,0.0
252,Philadelphia 76ers,97.8,100.4,2004,False,0.16556291390728467,0.5350318471337574
253,Phoenix Suns,100.3,104.2,2004,False,0.33112582781456934,0.292993630573248
254,Portland Trail Blazers,102.1,103.5,2004,False,0.45033112582781415,0.3375796178343946
255,Sacramento Kings,108.6,103.2,2004,False,0.8807947019867542,0.35668789808917156
256,San Antonio Spurs,101.0,93.1,2004,False,0.37748344370860926,1.0
257,Seattle SuperSonics,105.6,106.4,2004,False,0.6821192052980126,0.15286624203821597
258,Toronto Raptors,95.3,98.8,2004,False,0.0,0.6369426751592355
259,Utah Jazz,100.0,101.3,2004,False,0.3112582781456954,0.47770700636942665
260,Washington Wizards,97.2,102.9,2004,False,0.12582781456953673,0.3757961783439484
261,Atlanta Hawks,98.8,109.0,2005,False,0.0413793103448272,0.050847457627118176
262,Boston Celtics,105.9,105.1,2005,False,0.5310344827586209,0.3813559322033899
263,Charlotte Bobcats,99.8,106.0,2005,False,0.1103448275862065,0.3050847457627115
264,Chicago Bulls,100.5,99.1,2005,False,0.15862068965517223,0.8898305084745765
265,Cleveland Cavaliers,105.3,104.7,2005,False,0.4896551724137927,0.41525423728813493
266,Dallas Mavericks,108.5,102.6,2005,False,0.7103448275862067,0.593220338983051
267,Denver Nuggets,104.7,102.6,2005,False,0.4482758620689655,0.593220338983051
268,Detroit Pistons,103.9,99.6,2005,False,0.39310344827586224,0.8474576271186443
269,Golden State Warriors,103.4,105.5,2005,False,0.35862068965517263,0.3474576271186437
270,Houston Rockets,104.4,100.1,2005,False,0.4275862068965519,0.805084745762712
271,Indiana Pacers,103.7,102.7,2005,False,0.3793103448275862,0.5847457627118638
272,Los Angeles Clippers,103.8,104.5,2005,False,0.38620689655172374,0.4322033898305081
273,Los Angeles Lakers,106.4,109.6,2005,False,0.5655172413793106,0.0
274,Memphis Grizzlies,104.2,101.5,2005,False,0.41379310344827586,0.6864406779661014
275,Miami Heat,108.9,102.2,2005,False,0.7379310344827588,0.627118644067796
276,Milwaukee Bucks,105.1,108.1,2005,False,0.47586206896551664,0.1271186440677966
277,Minnesota Timberwolves,106.6,105.0,2005,False,0.5793103448275856,0.3898305084745759
278,New Jersey Nets,99.9,101.6,2005,False,0.11724137931034502,0.6779661016949154
279,New Orleans Hornets,98.2,105.9,2005,False,0.0,0.31355932203389747
280,New York Knicks,104.5,107.2,2005,False,0.43448275862068947,0.20338983050847392
281,Orlando Magic,103.4,105.7,2005,False,0.35862068965517263,0.33050847457627053
282,Philadelphia 76ers,101.8,102.5,2005,False,0.24827586206896513,0.601694915254237
283,Phoenix Suns,112.7,105.7,2005,False,1.0,0.33050847457627053
284,Portland Trail Blazers,101.9,106.1,2005,False,0.2551724137931036,0.2966101694915255
285,Sacramento Kings,108.8,106.5,2005,False,0.7310344827586203,0.2627118644067793
286,San Antonio Spurs,106.1,97.8,2005,True,0.544827586206896,1.0
287,Seattle SuperSonics,110.3,108.0,2005,False,0.8344827586206892,0.13559322033898258
288,Toronto Raptors,105.4,107.2,2005,False,0.49655172413793125,0.20338983050847392
289,Utah Jazz,102.9,107.3,2005,False,0.32413793103448296,0.19491525423728795
290,Washington Wizards,105.4,105.9,2005,False,0.49655172413793125,0.31355932203389747
291,Atlanta Hawks,104.8,110.1,2006,False,0.48571428571428515,0.18571428571428628
292,Boston Celtics,104.0,105.6,2006,False,0.40952380952380923,0.5071428571428578
293,Charlotte Bobcats,101.2,105.6,2006,False,0.14285714285714285,0.5071428571428578
294,Chicago Bulls,103.3,102.7,2006,False,0.3428571428571423,0.7142857142857143
295,Cleveland Cavaliers,106.6,104.4,2006,False,0.6571428571428564,0.5928571428571426
296,Dallas Mavericks,109.9,103.2,2006,False,0.9714285714285718,0.6785714285714286
297,Denver Nuggets,104.4,104.1,2006,False,0.4476190476190479,0.6142857142857149
